Activity,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18,Skill_19,Skill_20,Skill_21,Skill_22,Skill_23,Skill_24,Skill_25,Skill_26,Skill_27,Skill_28,Skill_29,Skill_30,Skill_31,Skill_32,Skill_33,Skill_34,Skill_35,Skill_36,Skill_37,Skill_38,Skill_39,Skill_40,Skill_41,Skill_42,Skill_43,Skill_44,Skill_45,Skill_46,Skill_47,Skill_48,Skill_49,Skill_50
Activity_1,3.3,1.9,2.5,2.4,4.0,2.5,3.6,5.0,4.5,2.5,2.6,3.5,1.0,2.0,3.6,2.9,5.0,2.3,1.7,1.9,3.0,2.8,5.0,2.5,3.1,4.1,2.9,3.7,3.5,4.0,1.3,4.0,2.8,3.2,2.5,5.0,0.5,4.7,2.2,4.8,4.5,4.2,4.0,5.0,2.3,2.3,2.2,4.1,1.4,4.2
Activity_2,2.7,1.7,1.7,2.0,1.2,3.6,4.0,4.2,2.2,3.4,3.0,3.8,3.5,3.1,0.8,2.8,3.1,2.2,2.7,1.4,2.6,3.6,5.0,1.8,3.0,1.8,2.9,2.7,4.0,4.2,3.2,2.9,4.4,3.2,4.8,1.0,5.0,2.3,1.7,2.9,1.6,3.7,2.4,3.3,1.8,2.7,3.1,2.8,4.9,3.7
Activity_3,3.2,0.8,3.5,4.5,2.2,2.8,0.0,1.5,0.5,3.1,2.8,2.9,2.5,4.2,1.5,2.9,3.7,2.8,2.9,2.0,2.6,3.9,0.6,2.8,2.3,2.9,5.0,2.5,4.8,4.3,3.0,3.1,3.2,2.0,3.8,2.3,3.0,0.4,2.0,3.6,1.7,3.4,2.4,4.2,4.5,3.2,3.0,3.0,3.0,4.4
Activity_4,5.0,1.4,1.8,4.6,1.6,1.4,5.0,2.7,2.7,2.4,3.7,1.6,5.0,3.9,2.9,2.3,3.1,4.3,5.0,4.8,4.2,3.1,4.5,2.6,3.4,4.4,3.7,2.2,1.2,3.6,3.2,4.1,3.1,2.5,4.3,4.2,0.5,1.2,3.2,2.9,2.8,4.0,5.0,1.8,2.9,3.0,3.2,1.5,3.6,3.0
Activity_5,5.0,3.5,2.2,1.2,2.9,2.1,2.5,3.4,3.3,3.2,4.7,3.5,5.0,3.2,2.5,1.2,1.4,4.1,3.8,2.9,2.7,1.9,2.8,3.1,0.6,3.9,0.6,3.4,2.9,3.4,2.2,5.0,3.9,3.8,2.8,2.9,4.1,4.6,4.7,2.9,3.1,3.4,2.7,2.1,3.2,3.6,3.6,2.9,2.2,3.6
Activity_6,3.5,1.9,4.1,3.9,2.9,1.5,1.5,3.5,2.4,2.7,1.6,4.0,0.7,2.9,3.4,3.7,3.6,1.5,2.5,2.1,1.6,0.9,3.6,4.4,2.3,3.9,3.6,1.9,2.9,3.0,3.9,3.1,0.9,5.0,3.5,1.8,1.2,2.0,2.6,2.2,2.4,1.8,3.7,1.7,3.6,3.8,1.2,2.4,4.1,3.2
Activity_7,4.0,4.3,1.6,2.5,3.3,2.7,3.4,4.8,2.8,3.3,2.8,0.5,2.0,2.7,2.4,3.9,4.3,2.2,4.3,2.4,3.3,2.5,1.4,2.0,1.0,4.0,4.6,4.1,2.6,3.8,0.6,4.2,5.0,3.8,2.4,4.0,3.1,1.7,1.4,2.7,3.0,0.0,5.0,2.5,4.6,3.0,4.5,5.0,2.3,2.6
Activity_8,3.7,4.2,3.3,2.8,1.3,3.1,1.8,3.0,4.5,3.5,3.4,1.1,3.6,2.4,0.7,4.6,2.7,3.0,3.6,4.5,2.1,4.7,2.9,2.0,3.1,2.2,2.9,4.8,0.7,3.1,3.0,2.6,2.4,3.8,2.3,0.0,1.2,2.6,4.1,3.7,0.4,3.7,3.1,2.4,2.4,3.7,3.3,1.8,1.7,3.1
Activity_9,5.0,4.3,3.7,1.7,2.0,3.8,4.0,2.0,2.8,2.0,2.3,4.2,2.7,1.9,1.2,2.8,2.6,4.7,2.0,1.9,3.8,3.3,3.0,3.2,2.4,3.1,3.9,1.7,4.1,4.3,2.4,5.0,5.0,1.0,4.2,3.9,1.7,3.6,2.4,4.1,1.8,1.8,5.0,3.0,3.9,4.2,2.8,2.5,3.6,5.0
Activity_10,3.2,3.5,2.8,3.4,2.4,3.4,4.2,4.7,4.1,3.6,5.0,2.9,2.8,0.8,3.4,3.8,4.4,2.9,5.0,4.1,1.7,3.5,3.0,4.6,3.1,2.0,3.4,2.4,0.9,2.0,3.2,2.4,4.6,1.4,2.1,1.8,3.2,4.7,3.0,2.8,4.5,5.0,3.5,0.7,1.5,3.7,3.5,0.4,3.6,3.8
