Profile,Python,Java,SQL,Communication,Leadership,Problem_Solving,Teamwork,Project_Management,Data_Analysis,Cloud_Computing
Profile_1,8,10,3,1,6,1,7,10,3,2
Profile_2,6,5,10,0,6,7,8,10,5,3
Profile_3,9,3,4,9,5,2,7,5,5,1
Profile_4,10,4,5,2,9,9,10,7,0,8
Profile_5,0,9,5,2,6,5,10,9,4,6
Profile_6,0,8,9,7,10,2,6,4,9,0
Profile_7,3,10,9,5,3,3,4,0,5,1
Profile_8,0,8,8,8,5,5,0,3,10,3
Profile_9,2,5,1,9,3,7,9,3,6,7
Profile_10,3,6,4,8,6,8,6,3,7,6
Profile_11,2,6,8,4,4,4,0,3,8,0
Profile_12,7,3,10,9,2,6,2,3,5,2
Profile_13,4,5,3,6,9,10,7,0,3,10
Profile_14,10,0,4,9,6,2,10,4,2,8
Profile_15,10,4,7,0,9,9,0,0,8,5
