Activity,Rank 1,Rank 2,Rank 3
Backend_Development,Dev10 (1.0000),Dev7 (0.8348),Dev1 (0.6754)
Frontend_Development,Dev1 (1.0000),Dev2 (0.8295),Dev7 (0.8207)
Team_Lead,Dev14 (1.0000),Dev9 (0.8564),Dev12 (0.8140)
Data_Engineer,Dev1 (1.0000),Dev10 (0.8361),Dev7 (0.7681)
DevOps_Engineer,Dev4 (1.0000),Dev10 (0.7404),Dev14 (0.7137)
Project_Manager,Dev5 (1.0000),Dev11 (0.5073),Dev9 (0.4707)
Full_Stack_Developer,Dev4 (1.0000),Dev14 (0.9666),Dev12 (0.4831)
Database_Admin,Dev1 (1.0000),Dev10 (0.8361),Dev7 (0.7681)
Cloud_Architect,Dev4 (1.0000),Dev10 (0.7404),Dev14 (0.7137)
Tech_Lead,Dev4 (1.0000),Dev14 (0.9666),Dev12 (0.4831)
